Paper,Flow_Scheduling,Orchestration,Multipath,Network_Optimization,DRL,LLM,Agent,Multi_Agent,RAG,Tool_Calling,Fine_Tuning,LoRA,QLoRA,Pruning,Quantization,Distillation,O_RAN,5G_Core,6G,Network_Slicing,Closed_Loop,Testbed,Simulator,Benchmark,Open_Code,Main_Metric,Main_Limitation
Cellular Network Traffic Scheduling With Deep Reinforcement Learning,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,NA,NA
Intelligent Resource Scheduling for 5G Radio Access Network Slicing,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
Deep Reinforcement Learning for Dynamic Uplink/Downlink Resource Allocation in High Mobility 5G HetNet,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Reinforcement Learning-Based Particle Swarm Optimization for End-to-End Traffic Scheduling in TSN-5G Networks,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
DecAge: Decentralized Flow Scheduling for Industrial 5G and TSN Integrated Networks,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Learn to Schedule (LEASCH): A Deep Reinforcement Learning Approach for Radio Resource Scheduling in the 5G MAC Layer,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA
5G RAN Slicing for Verticals: Enablers and Challenges,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
Multi-Agent Deep Reinforcement Learning-Based Task Scheduling and Resource Sharing for O-RAN-Empowered Multi-UAV-Assisted Wireless Sensor Networks,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
Traffic engineering based on deep reinforcement learning in hybrid IP/SR network,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Experience-driven Networking: A Deep Reinforcement Learning based Approach,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA
Deep Reinforcement Learning-Based Routing on Software-Defined Networks,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Latency-Aware Service Function Chain Placement in 5G Mobile Networks,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Joint Optimization of Service Function Chaining and Resource Allocation in Network Function Virtualization,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Adaptive Service Function Chain Scheduling in Mobile Edge Computing via Deep Reinforcement Learning,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
QoS-Aware and Reliable Traffic Steering for Service Function Chaining in Mobile Networks,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Packet Scheduling Algorithms for Mixed Traffic Flow over HSDPA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Joint Routing and Packet Scheduling For URLLC and eMBB Traffic in 5G O-RAN,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
